koaza_name,oaza_name,city
字垣内,那波野,相生市
字境田,那波野,相生市
字大丈原,那波野,相生市
字西野,那波野,相生市
字北茶屋垣内,那波野,相生市
字川焼,那波野,相生市
字研屋垣内,那波野,相生市
字上土穴,那波野,相生市
字下土穴,那波野,相生市
字西中ノ坪,那波野,相生市
字土井,那波野,相生市
字溝向,那波野,相生市
字東中ノ坪,那波野,相生市
字池田,那波野,相生市
字井尻,那波野,相生市
字中芝,那波野,相生市
字高芝,那波野,相生市
字南茶屋垣内,那波野,相生市
字大上原,那波野,相生市
字岩屋口,那波野,相生市
字石角,那波野,相生市
字岩屋谷,那波野,相生市
字下乗清,矢野町中野,相生市
字中乗清,矢野町中野,相生市
字上乗清,矢野町中野,相生市
字西徳力,矢野町中野,相生市
字中徳力,矢野町中野,相生市
字下才ノ元,矢野町中野,相生市
字中才之元,矢野町中野,相生市
字上徳力,矢野町中野,相生市
字上才之元,矢野町中野,相生市
字中乗清,矢野町中野,相生市
字上乗清,矢野町中野,相生市
字上徳力,矢野町中野,相生市
字上才ノ元,矢野町中野,相生市
字川西,若狭野町西後明,相生市
字下迎,若狭野町西後明,相生市
字池之奥,若狭野町西後明,相生市
字下タ山,若狭野町西後明,相生市
字梅ケ淵,若狭野町西後明,相生市
字下タ山,若狭野町西後明,相生市
字池之奥,若狭野町西後明,相生市
字片井ソコ,矢野町能下,相生市
字下堂ノ本,矢野町能下,相生市
字上堂ノ本,矢野町能下,相生市
字間谷,矢野町能下,相生市
字広畑,矢野町能下,相生市
字広芝,矢野町能下,相生市
字東平山,矢野町能下,相生市
字西北山,矢野町能下,相生市
字三本卒都婆東,矢野町能下,相生市
字三本卒都婆西,矢野町能下,相生市
字亀之元,若狭野町野々,相生市
字奥山田,若狭野町野々,相生市
字前田,若狭野町野々,相生市
字犬島,若狭野町野々,相生市
字深田,若狭野町野々,相生市
字西原上サ,若狭野町野々,相生市
字東上サ,若狭野町野々,相生市
字南上サ,若狭野町野々,相生市
字中上サ,若狭野町野々,相生市
字西上サ,若狭野町野々,相生市
字大町筋,若狭野町野々,相生市
字北川田,若狭野町野々,相生市
字宮前,若狭野町野々,相生市
字中川田,若狭野町野々,相生市
字西原,若狭野町野々,相生市
字宮ノ前,若狭野町野々,相生市
字奥池,若狭野町野々,相生市
字東山,若狭野町野々,相生市
字西山,若狭野町野々,相生市
字奥山,若狭野町野々,相生市
字向山,若狭野町野々,相生市
字上奥池,若狭野町野々,相生市
字西原池,若狭野町野々,相生市
字ミセノ松,若狭野町野々,相生市
字上山,若狭野町野々,相生市
字下向井,野瀬,相生市
字上向井,野瀬,相生市
字池ノ下,野瀬,相生市
字家尻,野瀬,相生市
字室ロ坂,野瀬,相生市
字前山,野瀬,相生市
字口奥,野瀬,相生市
字東亀ノ尾,野瀬,相生市
字西亀ノ尾,野瀬,相生市
字溝多,野瀬,相生市
字塩入,野瀬,相生市
字井ノ奥,野瀬,相生市
字北山,野瀬,相生市
字北,野瀬,相生市
字東横山,野瀬,相生市
字西横山,野瀬,相生市
字岩本新田,野瀬,相生市
字兎谷,野瀬,相生市
字亀ノ尾,野瀬,相生市
字北山,野瀬,相生市
字南脇,野瀬,相生市
字西山,野瀬,相生市
字五六見山,野瀬,相生市
字南山,野瀬,相生市
字奥山,野瀬,相生市
字イムシ,野瀬,相生市
字大谷山,野瀬,相生市
字奥谷,野瀬,相生市
字轉ケ谷,野瀬,相生市
字出口,矢野町小河,相生市
字的場,矢野町小河,相生市
字池ノ谷,矢野町小河,相生市
字観音,矢野町小河,相生市
字行安,矢野町小河,相生市
字螢谷,矢野町小河,相生市
字合楽,矢野町小河,相生市
字大谷,矢野町小河,相生市
字安坂,矢野町小河,相生市
字山鼻,矢野町小河,相生市
字油田,矢野町小河,相生市
字中野坪,矢野町小河,相生市
字古宿,矢野町小河,相生市
字古宿,矢野町小河,相生市
字古宿,矢野町小河,相生市
字陳山,矢野町小河,相生市
字的場,矢野町小河,相生市
字池ノ谷西,矢野町小河,相生市
字観音,矢野町小河,相生市
字池ノ谷東,矢野町小河,相生市
字螢谷,矢野町小河,相生市
字行安,矢野町小河,相生市
字安坂東,矢野町小河,相生市
字油田,矢野町小河,相生市
字大平,矢野町小河,相生市
字廻リ角鼻,矢野町小河,相生市
字湯降谷,矢野町小河,相生市
字下モ雨谷,矢野町小河,相生市
字笹見谷,矢野町小河,相生市
字中雨谷,矢野町小河,相生市
字大谷,矢野町小河,相生市
字中ノ坪,矢野町小河,相生市
字奥竹谷,矢野町小河,相生市
字西谷東,矢野町小河,相生市
字上雨谷,矢野町小河,相生市
字雨谷田ノ尻,矢野町小河,相生市
字宮ノ奥,矢野町小河,相生市
字湯降谷南,矢野町小河,相生市
字甲深山口,矢野町小河,相生市
字乙深山口,矢野町小河,相生市
字丁深山口,矢野町小河,相生市
字戊深山口,矢野町小河,相生市
字湯降谷田ノ尻,矢野町小河,相生市
字湯降谷北,矢野町小河,相生市
字丙深山口,矢野町小河,相生市
字北峰,矢野町小河,相生市
